DC Bus;Pack;Pack;pack-charge;Battery;Status
Ahr;V;Ahr;%;degC;Condition
716.670;360.460;716.670;7.170;26.210;Ok
760.000;362.440;760.000;7.600;26.210;Ok
876.670;360.460;876.670;8.770;26.310;Ok
913.330;364.660;913.330;9.130;26.310;Ok
930.000;360.570;930.000;9.300;26.310;error
953.330;360.460;953.330;9.530;26.310;Ok
970.000;360.460;970.000;9.700;26.310;Ok
963.330;360.420;963.330;9.630;26.310;Ok
1000.000;356.270;1000.000;10.000;26.310;Ok
963.330;360.080;963.330;9.630;26.310;Ok
920.000;360.460;920.000;9.200;26.310;Ok
780.000;356.270;780.000;7.800;26.520;Ok
820.000;352.180;820.000;8.200;26.520;Ok
943.330;363.730;943.330;9.430;26.520;Ok
1056.670;360.460;1056.670;10.570;26.520;Ok
1100.000;360.460;1100.000;11.000;26.520;Ok
1110.000;360.460;1110.000;11.100;26.520;Ok
1110.000;356.630;1110.000;11.100;26.520;Ok
1076.670;360.460;1076.670;10.770;26.520;Ok
1070.000;360.460;1070.000;10.700;26.520;Ok
1143.330;360.460;1143.330;11.430;26.520;Ok
1133.330;364.660;1133.330;11.330;26.520;Ok
846.670;361.220;846.670;8.470;26.520;Ok
986.670;360.460;986.670;9.870;26.520;Ok
1203.330;360.460;1203.330;12.030;26.630;Ok
1210.000;356.630;1210.000;12.100;26.630;Ok
1223.330;356.730;1223.330;12.230;26.630;Ok
1236.670;360.460;1236.670;12.370;26.630;Ok
1146.670;360.570;1146.670;11.470;26.630;Ok
940.000;361.370;940.000;9.400;26.630;Error
746.670;0.000;746.670;7.470;26.630;Error
1280.000;360.460;1280.000;12.800;26.630;Ok
1316.670;360.460;1316.670;13.170;26.630;Ok
1246.670;360.460;1246.670;12.470;26.630;Ok
1346.670;368.830;1346.670;13.470;26.630;Ok
1346.670;359.160;1346.670;13.470;26.630;Ok
1363.330;364.660;1363.330;13.630;26.630;Ok
1380.000;360.460;1380.000;13.800;26.840;Ok
1356.670;363.880;1356.670;13.570;26.840;Ok
1410.000;364.470;1410.000;14.100;26.840;Ok
1413.330;360.460;1413.330;14.130;26.840;Ok
1446.670;360.460;1446.670;14.470;26.840;Ok
1466.670;359.980;1466.670;14.670;26.840;Ok
1490.000;356.250;1490.000;14.900;26.840;Ok
1503.330;360.460;1503.330;15.030;26.840;Ok
1530.000;360.460;1530.000;15.300;26.840;Ok
1553.330;360.460;1553.330;15.530;26.840;Ok
1576.670;360.630;1576.670;15.770;26.840;Ok
1586.670;364.640;1586.670;15.870;26.840;Ok
1613.330;360.570;1613.330;16.130;26.840;Ok
1626.670;360.460;1626.670;16.270;27.050;Ok
1650.000;360.460;1650.000;16.500;27.050;Ok
1653.330;368.850;1653.330;16.530;27.050;Ok
1683.330;356.270;1683.330;16.830;27.050;Ok
1716.670;360.080;1716.670;17.170;27.050;Ok
1736.670;360.460;1736.670;17.370;27.050;Ok
1756.670;360.460;1756.670;17.570;27.050;Ok
1783.330;360.570;1783.330;17.830;27.050;Ok
1800.000;363.730;1800.000;18.000;27.050;Ok
1870.000;363.880;1870.000;18.700;27.050;Ok
1900.000;364.660;1900.000;19.000;27.050;Ok
1946.670;360.460;1946.670;19.470;27.050;Ok
1980.000;368.470;1980.000;19.800;27.050;Ok
2023.330;356.270;2023.330;20.230;27.260;Ok
2073.330;359.140;2073.330;20.730;27.260;Ok
2123.330;360.460;2123.330;21.230;27.260;Ok
2176.670;360.460;2176.670;21.770;27.260;Ok
2250.000;361.220;2250.000;22.500;27.260;Ok
2310.000;364.470;2310.000;23.100;27.260;Ok
2406.670;364.640;2406.670;24.070;27.260;Ok
2483.330;364.660;2483.330;24.830;27.260;Ok
2546.670;359.980;2546.670;25.470;27.260;Ok
2590.000;368.850;2590.000;25.900;27.260;Ok
2646.670;364.640;2646.670;26.470;27.260;Ok
2700.000;361.370;2700.000;27.000;27.260;Ok
2750.000;364.660;2750.000;27.500;27.260;Ok
2713.330;360.460;2713.330;27.130;27.470;Ok
1556.670;362.660;1556.670;15.570;27.470;Ok
1450.000;360.460;1450.000;14.500;27.470;Ok
1413.330;360.460;1413.330;14.130;27.470;Ok
1356.670;357.580;1356.670;13.570;27.470;Ok
1336.670;360.420;1336.670;13.370;27.470;Ok
1320.000;360.460;1320.000;13.200;27.470;Ok
1316.670;360.460;1316.670;13.170;27.470;Ok
1403.330;356.080;1403.330;14.030;27.470;Ok
1296.670;364.660;1296.670;12.970;27.470;Ok
1210.000;360.570;1210.000;12.100;27.470;Ok
1180.000;360.460;1180.000;11.800;27.470;Ok
1150.000;360.460;1150.000;11.500;27.470;Ok
1146.670;356.270;1146.670;11.470;27.780;Ok
1150.000;357.770;1150.000;11.500;27.780;Ok
1176.670;360.460;1176.670;11.770;27.780;Ok
1653.330;360.460;1653.330;16.530;27.780;Ok
2220.000;362.660;2220.000;22.200;27.780;Ok
1563.330;360.460;1563.330;15.630;27.780;Ok
2030.000;364.660;2030.000;20.300;27.780;Ok
1806.670;357.550;1806.670;18.070;27.780;Ok
1670.000;356.290;1670.000;16.700;27.780;Ok
1973.330;347.880;1973.330;19.730;27.780;Ok
2550.000;360.080;2550.000;25.500;27.780;Ok
3013.330;368.850;3013.330;30.130;27.780;Ok
2936.670;364.660;2936.670;29.370;27.780;Ok
3056.670;360.570;3056.670;30.570;27.890;Ok
3033.330;360.460;3033.330;30.330;27.890;Ok
2943.330;363.880;2943.330;29.430;27.890;Ok
2856.670;360.460;2856.670;28.570;27.890;Ok
2300.000;360.460;2300.000;23.000;27.890;Ok
1530.000;360.080;1530.000;15.300;27.890;Ok
1350.000;359.980;1350.000;13.500;27.890;Ok
1346.670;360.460;1346.670;13.470;27.890;Ok
1376.670;360.460;1376.670;13.770;27.890;Ok
1810.000;355.340;1810.000;18.100;27.890;Ok
1600.000;364.660;1600.000;16.000;27.890;Ok
1683.330;364.470;1683.330;16.830;27.890;Ok
1916.670;360.460;1916.670;19.170;27.890;Ok
1786.670;360.460;1786.670;17.870;28.000;Ok
1730.000;359.980;1730.000;17.300;28.000;Ok
1726.670;356.270;1726.670;17.270;28.000;Ok
2053.330;364.660;2053.330;20.530;28.000;Ok
2216.670;360.460;2216.670;22.170;28.000;Ok
2113.330;364.660;2113.330;21.130;28.000;Ok
2343.330;360.460;2343.330;23.430;28.000;Ok
1893.330;362.660;1893.330;18.930;28.000;Ok
2056.670;360.460;2056.670;20.570;28.000;Ok
1573.330;356.270;1573.330;15.730;28.000;Ok
1643.330;357.580;1643.330;16.430;28.000;Ok
1416.670;356.290;1416.670;14.170;28.000;Ok
1480.000;356.270;1480.000;14.800;28.000;Ok
1623.330;360.080;1623.330;16.230;28.210;Ok
1666.670;360.630;1666.670;16.670;28.210;Ok
2370.000;356.270;2370.000;23.700;28.210;Ok
1926.670;364.660;1926.670;19.270;28.210;Ok
